"処理日","処理NO","最終処理NO","品名/内容","相手先","執行所管","執行金額"
"20260529","W2602001450-001","P2602001513-001","食洗器","アマゾンジャパン合同会社（全学共通）","中江研究室共通","26820"
"20260601","W2602001533-001","P2603000129-001","食洗器洗剤","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","2198"
"20260602","W2603000127-001","W2603000127-001","ポリ袋","アマゾンジャパン合同会社（全学共通）","中江研究室共通","869"
"20260602","W2603000127-002","W2603000127-002","コバエスプレー","アマゾンジャパン合同会社（全学共通）","中江研究室共通","605"
"20260603","W2602001449-001","P2603000094-001","ヨギボーライト","アマゾンジャパン合同会社（全学共通）","中江研究室共通","31790"
"20260603","W2603000220-001","W2603000220-001","クリップボード","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","1310"
"20260603","W2603000220-002","W2603000220-002","送料","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","550"
"20260604","W2603000302-001","W2603000302-001","ホワイトボード シート","アマゾンジャパン合同会社（全学共通）","中江研究室共通","4550"
"20260604","W2603000302-002","W2603000302-002","3l容器","アマゾンジャパン合同会社（全学共通）","中江研究室共通","998"
"20260604","W2603000329-002","W2603000329-002","HDMIケーブル","アマゾンジャパン合同会社（全学共通）","中江研究室共通","3795"
